Nom français V1;Nom latin V1;Type modification;Nom français V2;Nom latin V2;Rang 1;Rang 2;Rang 3;Rang 4;Type taxon;Protocole Aspifaune;Protocole Noctambules;Protocole Escargot;Protocole vers
Les Blattes ailées champêtres;Ectobius, Planuncus et autres genres;;Les Blattes ailées champêtres;Ectobius, Planuncus et autres genres;Les Blattes (Ectobiidae, Blattidae, Blaberidae);;;;taxon terminal;1;1;0;0
Les Grands Cafards;Blatta, Periplaneta;;Les Grands Cafards;Blatta, Periplaneta;Les Blattes (Ectobiidae, Blattidae, Blaberidae);;;;taxon terminal;1;1;0;0
Les Petits Cafards;Blattella, Supella;;Les Petits Cafards;Blattella, Supella;Les Blattes (Ectobiidae, Blattidae, Blaberidae);;;;taxon terminal;1;1;0;0
La Blatte de Vinzi, larve;Planuncus vinzi;;La Blatte de Vinzi, larve;Planuncus vinzi;Les Blattes (Ectobiidae, Blattidae, Blaberidae);;;;taxon terminal;1;1;0;0
Les Criquets, Grillons et Sauterelles;Orthoptera;;Les Criquets, Grillons et Sauterelles;Orthoptera;Les Criquets, Grillons et Sauterelles (Orthoptera);;;;taxon intermédiaire;1;1;0;0
Les Courtilières;Gryllotalpa gryllotalpa et autres espèces;modifié (correction appelation);Les Courtilières;Gryllotalpa;Les Criquets, Grillons et Sauterelles (Orthoptera);;;;taxon terminal;1;1;0;0
Les Grillons;Gryllidae;;Les Grillons;Gryllidae;Les Criquets, Grillons et Sauterelles (Orthoptera);;;;taxon terminal;1;1;0;0
Les Sauterelles;Tettigoniidae;;Les Sauterelles;Tettigoniidae;Les Criquets, Grillons et Sauterelles (Orthoptera);;;;taxon terminal;1;1;0;0
Les Criquets;Caelifera;;Les Criquets;Caelifera;Les Criquets, Grillons et Sauterelles (Orthoptera);;;;taxon terminal;1;1;0;0
Les Collemboles;Collembola;;Les Collemboles;Collembola;Les Collemboles (Collembola);;;;taxon intermédiaire;1;1;0;0
Les Collemboles Symphypléones;Symphypleona;;Les Collemboles Symphypléones;Symphypleona;Les Collemboles (Collembola);Les Collemboles Symphypléones (Symphypleona);;;taxon intermédiaire;1;1;0;0
