"thesaurus_bdd";"Nom français V1";"Nom latin V1";"Type de modification";"Nom français V2";"Nom latin V2";"Rang 1";"Rang 2";"Rang 3";"Rang 4";"Regroupement1a";"Regroupement1b";"Regroupement2a";"Regroupement2b";"Regroupement3";"Embranchement";"Sous-embranchement";"Classe";"Sous_classe&Infra_classe";"Ordre";"SousOrdre";"Famille";"Type taxon";"Niv_deter_global";"Niv_deter_detail";"Nb_sp";"Protocole Aspifaune";"Protocole Noctambules";"Protocole Escargot";"Protocole vers";"id_thesaurus_final";"id_thesaurus_bdd"
"qubs.taxon";"La Pisaure admirable";"Pisaura mirabilis";"modif_appelation";"Les Pisaures";"Pisaura";"Les Araignées (Araneae)";"";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon terminal";"Genre";"Genre";"";"1";"1";"0";"0";"42";"332"
"qubs.taxon";"Les Segestries";"Segestriidae";NA;"Les Segestries";"Segestriidae";"Les Araignées (Araneae)";"";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon terminal";"Famille";"famille";"";"1";"1";"0";"0";"288";"343"
"qubs.taxon";"Les Tégénaires";"Tegenaria";"modif_appelation";"Les Tégénaires";"Tegenaria, Eratigena";"Les Araignées (Araneae)";"";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon terminal";"Plusieurs genres";"2 genres de la même famille (Agelenidae)";"";"1";"1";"0";"0";"45";"344"
"qubs.taxon";"Les Zora";"Zora spinimana et autres espèces";NA;"Les Zora";"Zora spinimana et autres espèces";"Les Araignées (Araneae)";"";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon terminal";"Genre";"Genre";"";"1";"1";"0";"0";"278";"330"
"qubs.taxon";"Les Zoropses";"Zoropsis spinimana et media";NA;"Les Zoropses";"Zoropsis spinimana et media";"Les Araignées (Araneae)";"";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon terminal";"Genre";"2 espèces du même genre";"";"1";"1";"0";"0";"281";"334"
"qubs.taxon";"Les Araignées crabes";"Thomisidae, Philodromidae";NA;"Les Araignées crabes";"Thomisidae, Philodromidae";"Les Araignées (Araneae)";"Les Araignées crabes (Thomisidae, Philodromidae)";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon intermédiaire";"Plusieurs familles";"2 familles désignées par le nom vernaculaire """"araignées crabes"""" : Thomisidae, Philodromidae";"";"1";"1";"0";"0";"313";"370"
"qubs.taxon";"Les Araignées crabes Diaea";"Diaea";NA;"Les Araignées crabes Diaea";"Diaea";"Les Araignées (Araneae)";"Les Araignées crabes (Thomisidae, Philodromidae)";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon terminal";"Genre";"Genre (2 espèces en France) : Diaea livens et Diaea dorsata";"";"1";"1";"0";"0";"322";"379"
"qubs.taxon";"Les Araignées crabes minces";"Tibellus, Thanatus";NA;"Les Araignées crabes minces";"Tibellus, Thanatus";"Les Araignées (Araneae)";"Les Araignées crabes (Thomisidae, Philodromidae)";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon terminal";"Plusieurs genres";"Plusieurs espèces appartenant aux genres Tibellus et Thanatus ayant une caractéristique morphologique commune : abdomen mince";"";"1";"1";"0";"0";"318";"375"
"qubs.taxon";"Les Araignées crabes Philodromus";"Philodromus";NA;"Les Araignées crabes Philodromus";"Philodromus";"Les Araignées (Araneae)";"Les Araignées crabes (Thomisidae, Philodromidae)";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon terminal";"Genre";"Genre";"";"1";"1";"0";"0";"316";"373"
"qubs.taxon";"Les Araignées crabes Thanatus";"Thanatus";"";"Les Araignées crabes Thanatus";"Thanatus";"Les Araignées (Araneae)";"Les Araignées crabes (Thomisidae, Philodromidae)";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon terminal";"Plusieurs espèces du genre Thanatus, en dehors de celles ayant un abdomen mince";"Plusieurs espèces du genre Thanatus, en dehors de celles ayant un abdomen mince";"";"1";"1";"0";"0";"317";"374"
